Class,Precision,Recall,F1,Support
animal crossing,1.0,0.7272727272727273,0.8421052631578948,11
bumpy road,0.0,0.0,0.0,18
cross road,0.0,0.0,0.0,20
cycle crossing,1.0,1.0,1.0,11
dip,1.0,0.1,0.18181818181818182,10
gas station,1.0,1.0,1.0,10
give way,0.20689655172413793,1.0,0.34285714285714286,12
height limit,0.0,0.0,0.0,12
hospital,1.0,1.0,1.0,10
left turn,0.0,0.0,0.0,13
narrow roads ahead,0.0,0.0,0.0,10
no entry for vehicles,0.6923076923076923,0.9,0.7826086956521738,10
no overtaking,0.7692307692307693,1.0,0.8695652173913044,10
no parking,0.6521739130434783,1.0,0.7894736842105263,15
no pedestrians,1.0,1.0,1.0,10
no stopping,0.9285714285714286,0.9285714285714286,0.9285714285714286,14
no u turn,0.5,0.1,0.16666666666666669,10
pedestrian crossing,0.7,0.7,0.7,10
railway crossing,0.32,0.8,0.45714285714285713,10
right turn,0.0,0.0,0.0,11
road work ahead,1.0,0.8,0.888888888888889,10
round about,1.0,0.6,0.7499999999999999,10
school zone,1.0,0.8571428571428571,0.923076923076923,14
slippery road,0.21739130434782608,0.5882352941176471,0.3174603174603175,17
speed limit,0.5263157894736842,0.7142857142857143,0.6060606060606061,14
steep ascent,0.0,0.0,0.0,10
steep descent,0.0,0.0,0.0,10
stop,1.0,1.0,1.0,13
weight limit,0.07407407407407407,0.18181818181818182,0.10526315789473684,11
width limit,0.0,0.0,0.0,10
