Class,Precision,Recall,F1,Support
animal crossing,1.0,0.18181818181818182,0.3076923076923077,11
bumpy road,0.0,0.0,0.0,11
cross road,1.0,0.25,0.4,12
cycle crossing,0.8333333333333334,1.0,0.9090909090909091,10
gas station,1.0,1.0,1.0,12
give way,0.5714285714285714,0.5,0.5333333333333333,16
height limit,0.5714285714285714,0.3333333333333333,0.4210526315789474,12
hospital,1.0,1.0,1.0,11
no entry for vehicles,0.5,1.0,0.6666666666666666,12
no overtaking,1.0,0.25,0.4,12
no parking,0.48,1.0,0.6486486486486487,12
no pedestrians,1.0,0.8181818181818182,0.9,11
no stopping,1.0,0.07142857142857142,0.13333333333333333,14
no u turn,0.6,0.8181818181818182,0.6923076923076923,11
pedestrian crossing,0.43478260869565216,1.0,0.6060606060606061,10
railway crossing,1.0,0.3333333333333333,0.5,12
road work ahead,0.8,0.36363636363636365,0.5000000000000001,11
round about,1.0,0.45454545454545453,0.625,11
school zone,1.0,0.4,0.5714285714285715,10
slippery road,0.9,0.9,0.9,10
speed limit,0.7142857142857143,0.9375,0.8108108108108109,16
steep ascent,0.21568627450980393,1.0,0.3548387096774193,11
steep descent,0.3333333333333333,0.25,0.28571428571428575,12
stop,1.0,1.0,1.0,11
weight limit,0.3333333333333333,0.3333333333333333,0.3333333333333333,12
