Class,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc
animal crossing,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.5454545454545454
bumpy road,0.0,0.0,0.2727272727272727,0.6363636363636364,0.8181818181818182
cross road,0.25,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.9166666666666666
cycle crossing,1.0,1.0,1.0,1.0,1.0
gas station,1.0,1.0,1.0,1.0,1.0
give way,0.5,0.6875,1.0,1.0,1.0
height limit,0.3333333333333333,0.75,0.8333333333333334,0.9166666666666666,0.9166666666666666
hospital,1.0,1.0,1.0,1.0,1.0
no entry for vehicles,1.0,1.0,1.0,1.0,1.0
no overtaking,0.25,1.0,1.0,1.0,1.0
no parking,1.0,1.0,1.0,1.0,1.0
no pedestrians,0.8181818181818182,1.0,1.0,1.0,1.0
no stopping,0.07142857142857142,0.9285714285714286,1.0,1.0,1.0
no u turn,0.8181818181818182,1.0,1.0,1.0,1.0
pedestrian crossing,1.0,1.0,1.0,1.0,1.0
railway crossing,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.5
road work ahead,0.36363636363636365,0.9090909090909091,1.0,1.0,1.0
round about,0.45454545454545453,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0
school zone,0.4,0.7,0.9,0.9,0.9
slippery road,0.9,0.9,1.0,1.0,1.0
speed limit,0.9375,1.0,1.0,1.0,1.0
steep ascent,1.0,1.0,1.0,1.0,1.0
steep descent,0.25,0.9166666666666666,0.9166666666666666,1.0,1.0
stop,1.0,1.0,1.0,1.0,1.0
weight limit,0.3333333333333333,0.9166666666666666,1.0,1.0,1.0
