Class,Precision,Recall,F1,Support
animal crossing,1.0,0.7272727272727273,0.8421052631578948,11
bumpy road,0.0,0.0,0.0,18
cross road,0.0,0.0,0.0,20
cycle crossing,1.0,1.0,1.0,11
gas station,1.0,1.0,1.0,10
give way,0.2894736842105263,0.9166666666666666,0.43999999999999995,12
height limit,0.0,0.0,0.0,12
hospital,1.0,1.0,1.0,10
no entry for vehicles,0.8888888888888888,0.8,0.8421052631578948,10
no overtaking,0.7692307692307693,1.0,0.8695652173913044,10
no parking,0.6,1.0,0.7499999999999999,15
no pedestrians,1.0,1.0,1.0,10
no stopping,0.9333333333333333,1.0,0.9655172413793104,14
no u turn,0.5,0.1,0.16666666666666669,10
pedestrian crossing,0.9,0.9,0.9,10
railway crossing,0.6153846153846154,0.8,0.6956521739130435,10
road work ahead,1.0,0.9,0.9473684210526316,10
round about,1.0,0.6,0.7499999999999999,10
school zone,1.0,0.9285714285714286,0.962962962962963,14
slippery road,0.3783783783783784,0.8235294117647058,0.5185185185185186,17
speed limit,0.3333333333333333,0.2857142857142857,0.30769230769230765,14
steep ascent,0.0,0.0,0.0,10
steep descent,0.0,0.0,0.0,10
stop,1.0,1.0,1.0,13
weight limit,0.21739130434782608,0.45454545454545453,0.29411764705882354,11
