Class,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc
animal crossing,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,1.0
bumpy road,0.0,0.16666666666666666,0.6111111111111112,0.7777777777777778,0.9444444444444444
cross road,0.0,0.25,0.35,0.45,0.5
cycle crossing,1.0,1.0,1.0,1.0,1.0
gas station,1.0,1.0,1.0,1.0,1.0
give way,0.9166666666666666,1.0,1.0,1.0,1.0
height limit,0.0,0.0,0.75,0.9166666666666666,0.9166666666666666
hospital,1.0,1.0,1.0,1.0,1.0
no entry for vehicles,0.8,0.9,0.9,1.0,1.0
no overtaking,1.0,1.0,1.0,1.0,1.0
no parking,1.0,1.0,1.0,1.0,1.0
no pedestrians,1.0,1.0,1.0,1.0,1.0
no stopping,1.0,1.0,1.0,1.0,1.0
no u turn,0.1,0.5,0.8,1.0,1.0
pedestrian crossing,0.9,1.0,1.0,1.0,1.0
railway crossing,0.8,1.0,1.0,1.0,1.0
road work ahead,0.9,1.0,1.0,1.0,1.0
round about,0.6,0.6,0.7,0.7,0.7
school zone,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
slippery road,0.8235294117647058,1.0,1.0,1.0,1.0
speed limit,0.2857142857142857,0.9285714285714286,1.0,1.0,1.0
steep ascent,0.0,0.4,0.4,0.9,1.0
steep descent,0.0,0.5,1.0,1.0,1.0
stop,1.0,1.0,1.0,1.0,1.0
weight limit,0.45454545454545453,1.0,1.0,1.0,1.0
