Class,Precision,Recall,F1,Support
animal crossing,1.0,1.0,1.0,10
bumpy road,1.0,0.4,0.5714285714285715,10
cross road,1.0,1.0,1.0,10
cycle crossing,1.0,1.0,1.0,25
gas station,1.0,1.0,1.0,10
give way,1.0,1.0,1.0,25
height limit,1.0,1.0,1.0,10
hospital,1.0,1.0,1.0,10
no entry for vehicles,0.8333333333333334,1.0,0.9090909090909091,25
no overtaking,1.0,0.8,0.888888888888889,25
no parking,0.43478260869565216,1.0,0.6060606060606061,10
no pedestrians,1.0,1.0,1.0,10
no stopping,1.0,0.36,0.5294117647058824,25
no u turn,1.0,1.0,1.0,25
pedestrian crossing,0.9615384615384616,1.0,0.9803921568627451,25
railway crossing,1.0,0.92,0.9583333333333334,25
road work ahead,1.0,0.9523809523809523,0.975609756097561,21
round about,1.0,1.0,1.0,10
school zone,1.0,1.0,1.0,25
slippery road,1.0,1.0,1.0,10
speed limit,1.0,1.0,1.0,25
steep ascent,0.34,1.0,0.5074626865671642,17
steep descent,0.0,0.0,0.0,25
stop,0.8928571428571429,1.0,0.9433962264150945,25
weight limit,1.0,1.0,1.0,10
