Class,Precision,Recall,F1,Support
animal crossing,0.7857142857142857,1.0,0.88,11
bumpy road,0.0,0.0,0.0,12
cross road,1.0,1.0,1.0,12
cycle crossing,1.0,1.0,1.0,9
dip,1.0,0.08333333333333333,0.15384615384615385,12
gas station,1.0,1.0,1.0,12
give way,1.0,1.0,1.0,12
height limit,0.0,0.0,0.0,12
hospital,1.0,1.0,1.0,11
left turn,0.5625,0.8181818181818182,0.6666666666666666,11
narrow roads ahead,0.9,0.8181818181818182,0.8571428571428572,11
no entry for vehicles,1.0,0.9090909090909091,0.9523809523809523,11
no overtaking,0.9230769230769231,1.0,0.9600000000000001,12
no parking,0.5217391304347826,1.0,0.6857142857142856,12
no pedestrians,1.0,1.0,1.0,11
no stopping,0.0,0.0,0.0,11
no u turn,1.0,1.0,1.0,11
pedestrian crossing,1.0,1.0,1.0,11
railway crossing,1.0,1.0,1.0,12
right turn,0.0,0.0,0.0,11
road work ahead,0.8461538461538461,1.0,0.9166666666666666,11
round about,1.0,1.0,1.0,11
school zone,1.0,0.9166666666666666,0.9565217391304348,12
slippery road,1.0,1.0,1.0,11
speed limit,0.8571428571428571,1.0,0.923076923076923,12
steep ascent,0.3448275862068966,0.9090909090909091,0.5000000000000001,11
steep descent,0.0,0.0,0.0,0
stop,1.0,1.0,1.0,11
weight limit,0.30303030303030304,0.8333333333333334,0.4444444444444444,12
width limit,0.0,0.0,0.0,11
