Class,Precision,Recall,F1,Support
animal crossing,1.0,1.0,1.0,11
bumpy road,0.6,0.8333333333333334,0.6976744186046512,18
cross road,1.0,0.95,0.9743589743589743,20
cycle crossing,1.0,1.0,1.0,11
gas station,1.0,1.0,1.0,10
give way,0.9166666666666666,0.9166666666666666,0.9166666666666666,12
height limit,0.48,1.0,0.6486486486486487,12
hospital,1.0,1.0,1.0,10
no entry for vehicles,0.5294117647058824,0.9,0.6666666666666667,10
no overtaking,0.5,0.1,0.16666666666666669,10
no parking,0.43478260869565216,0.6666666666666666,0.5263157894736841,15
no pedestrians,1.0,0.5,0.6666666666666666,10
no stopping,0.875,1.0,0.9333333333333333,14
no u turn,0.5,0.1,0.16666666666666669,10
pedestrian crossing,0.5625,0.9,0.6923076923076923,10
railway crossing,0.6666666666666666,1.0,0.8,10
road work ahead,1.0,0.9,0.9473684210526316,10
round about,1.0,0.7,0.8235294117647058,10
school zone,1.0,0.9285714285714286,0.962962962962963,14
slippery road,0.4642857142857143,0.7647058823529411,0.5777777777777777,17
speed limit,1.0,0.7857142857142857,0.88,14
steep ascent,0.0,0.0,0.0,10
steep descent,0.0,0.0,0.0,10
stop,1.0,1.0,1.0,13
weight limit,1.0,0.09090909090909091,0.16666666666666669,11
