Class,Precision,Recall,F1,Support
animal crossing,0.37037037037037035,1.0,0.5405405405405406,10
bumpy road,0.0,0.0,0.0,10
cross road,0.45454545454545453,1.0,0.625,10
cycle crossing,1.0,1.0,1.0,25
gas station,0.9090909090909091,1.0,0.9523809523809523,10
give way,1.0,0.92,0.9583333333333334,25
height limit,0.6666666666666666,1.0,0.8,10
hospital,1.0,1.0,1.0,10
no entry for vehicles,0.525,0.84,0.6461538461538462,25
no overtaking,0.0,0.0,0.0,25
no parking,0.24390243902439024,1.0,0.39215686274509803,10
no pedestrians,1.0,1.0,1.0,10
no stopping,1.0,0.16,0.2758620689655173,25
no u turn,0.7241379310344828,0.84,0.7777777777777777,25
pedestrian crossing,0.9,0.36,0.5142857142857143,25
railway crossing,1.0,0.36,0.5294117647058824,25
road work ahead,0.4827586206896552,0.6666666666666666,0.56,21
round about,1.0,0.5,0.6666666666666666,10
school zone,0.5208333333333334,1.0,0.684931506849315,25
slippery road,0.625,1.0,0.7692307692307693,10
speed limit,0.8148148148148148,0.88,0.8461538461538461,25
steep ascent,0.0,0.0,0.0,17
steep descent,0.5454545454545454,0.24,0.3333333333333333,25
stop,1.0,0.88,0.9361702127659575,25
weight limit,0.6666666666666666,0.2,0.30769230769230765,10
