Class,Precision,Recall,F1,Support
animal crossing,1.0,1.0,1.0,11
bumpy road,0.0,0.0,0.0,11
cross road,1.0,1.0,1.0,12
cycle crossing,0.9090909090909091,1.0,0.9523809523809523,10
gas station,1.0,1.0,1.0,12
give way,1.0,1.0,1.0,16
height limit,0.0,0.0,0.0,12
hospital,1.0,1.0,1.0,11
no entry for vehicles,0.8,0.6666666666666666,0.7272727272727272,12
no overtaking,0.8333333333333334,0.8333333333333334,0.8333333333333334,12
no parking,0.48,1.0,0.6486486486486487,12
no pedestrians,1.0,1.0,1.0,11
no stopping,1.0,0.5714285714285714,0.7272727272727273,14
no u turn,1.0,0.5454545454545454,0.7058823529411764,11
pedestrian crossing,1.0,1.0,1.0,10
railway crossing,1.0,0.8333333333333334,0.9090909090909091,12
road work ahead,1.0,1.0,1.0,11
round about,1.0,1.0,1.0,11
school zone,1.0,1.0,1.0,10
slippery road,0.8333333333333334,1.0,0.9090909090909091,10
speed limit,0.8888888888888888,1.0,0.9411764705882353,16
steep ascent,0.3333333333333333,1.0,0.5,11
steep descent,0.0,0.0,0.0,12
stop,1.0,1.0,1.0,11
weight limit,0.45454545454545453,0.8333333333333334,0.5882352941176471,12
