Class,Precision,Recall,F1,Support
animal crossing,0.42857142857142855,0.3,0.3529411764705882,10
bumpy road,0.2,0.1,0.13333333333333333,10
cross road,0.8571428571428571,0.6,0.7058823529411764,10
cycle crossing,0.696969696969697,0.92,0.793103448275862,25
gas station,0.7272727272727273,0.8,0.761904761904762,10
give way,0.3684210526315789,0.56,0.4444444444444444,25
height limit,0.4375,0.7,0.5384615384615384,10
hospital,0.5714285714285714,0.8,0.6666666666666666,10
no entry for vehicles,0.45714285714285713,0.64,0.5333333333333333,25
no overtaking,0.18181818181818182,0.08,0.1111111111111111,25
no parking,0.14285714285714285,0.2,0.16666666666666666,10
no pedestrians,0.391304347826087,0.9,0.5454545454545454,10
no stopping,0.6363636363636364,0.28,0.3888888888888889,25
no u turn,0.8571428571428571,0.24,0.375,25
pedestrian crossing,0.37142857142857144,0.52,0.43333333333333335,25
railway crossing,0.5833333333333334,0.56,0.5714285714285714,25
road work ahead,0.8888888888888888,0.38095238095238093,0.5333333333333333,21
round about,0.7272727272727273,0.8,0.761904761904762,10
school zone,0.7777777777777778,0.28,0.4117647058823529,25
slippery road,0.16666666666666666,0.5,0.25,10
speed limit,0.8461538461538461,0.88,0.8627450980392156,25
steep ascent,0.14285714285714285,0.11764705882352941,0.12903225806451615,17
steep descent,0.25806451612903225,0.32,0.2857142857142857,25
stop,0.7307692307692307,0.76,0.7450980392156863,25
weight limit,0.0,0.0,0.0,10
