Class,Precision,Recall,F1,Support
animal crossing,0.75,0.5454545454545454,0.631578947368421,11
bumpy road,0.0,0.0,0.0,11
cross road,0.0,0.0,0.0,12
cycle crossing,0.8333333333333334,1.0,0.9090909090909091,10
gas station,1.0,0.8333333333333334,0.9090909090909091,12
give way,1.0,0.0625,0.11764705882352941,16
height limit,0.0,0.0,0.0,12
hospital,0.9166666666666666,1.0,0.9565217391304348,11
no entry for vehicles,0.6666666666666666,0.16666666666666666,0.26666666666666666,12
no overtaking,0.5,0.3333333333333333,0.4,12
no parking,0.5,0.5,0.5,12
no pedestrians,0.8333333333333334,0.9090909090909091,0.8695652173913043,11
no stopping,0.6363636363636364,1.0,0.7777777777777778,14
no u turn,0.5333333333333333,0.7272727272727273,0.6153846153846153,11
pedestrian crossing,0.38095238095238093,0.8,0.5161290322580645,10
railway crossing,0.14705882352941177,0.4166666666666667,0.2173913043478261,12
road work ahead,1.0,0.09090909090909091,0.16666666666666669,11
round about,1.0,0.8181818181818182,0.9,11
school zone,0.25,0.4,0.3076923076923077,10
slippery road,0.35714285714285715,1.0,0.5263157894736842,10
speed limit,0.38235294117647056,0.8125,0.52,16
steep ascent,0.0,0.0,0.0,11
steep descent,0.5,0.08333333333333333,0.14285714285714285,12
stop,0.44,1.0,0.6111111111111112,11
weight limit,0.0,0.0,0.0,12
