Class,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc
animal crossing,0.5454545454545454,0.9090909090909091,0.9090909090909091,1.0,1.0
bumpy road,0.0,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727
cross road,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
cycle crossing,1.0,1.0,1.0,1.0,1.0
gas station,0.8333333333333334,1.0,1.0,1.0,1.0
give way,0.0625,0.4375,0.6875,0.6875,0.6875
height limit,0.0,0.25,0.5,0.5833333333333334,0.5833333333333334
hospital,1.0,1.0,1.0,1.0,1.0
no entry for vehicles,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75
no overtaking,0.3333333333333333,0.5,0.6666666666666666,0.9166666666666666,1.0
no parking,0.5,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666
no pedestrians,0.9090909090909091,1.0,1.0,1.0,1.0
no stopping,1.0,1.0,1.0,1.0,1.0
no u turn,0.7272727272727273,0.8181818181818182,0.9090909090909091,1.0,1.0
pedestrian crossing,0.8,1.0,1.0,1.0,1.0
railway crossing,0.4166666666666667,0.5,0.5,0.5833333333333334,0.5833333333333334
road work ahead,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2727272727272727
round about,0.8181818181818182,0.9090909090909091,1.0,1.0,1.0
school zone,0.4,0.7,0.8,0.8,0.8
slippery road,1.0,1.0,1.0,1.0,1.0
speed limit,0.8125,1.0,1.0,1.0,1.0
steep ascent,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
steep descent,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
stop,1.0,1.0,1.0,1.0,1.0
weight limit,0.0,1.0,1.0,1.0,1.0
