Class,Precision,Recall,F1,Support
animal crossing,1.0,0.6363636363636364,0.7777777777777778,11
bumpy road,0.34285714285714286,0.6666666666666666,0.4528301886792453,18
cross road,0.0,0.0,0.0,20
cycle crossing,1.0,0.9090909090909091,0.9523809523809523,11
dip,0.15,0.3,0.2,10
gas station,1.0,1.0,1.0,10
give way,0.6666666666666666,0.16666666666666666,0.26666666666666666,12
height limit,0.14285714285714285,0.16666666666666666,0.15384615384615383,12
hospital,1.0,0.9,0.9473684210526316,10
left turn,0.0,0.0,0.0,13
narrow roads ahead,0.1,0.3,0.15,10
no entry for vehicles,0.7692307692307693,1.0,0.8695652173913044,10
no overtaking,0.8571428571428571,0.6,0.7058823529411764,10
no parking,0.9230769230769231,0.8,0.8571428571428571,15
no pedestrians,0.9,0.9,0.9,10
no stopping,0.8,0.8571428571428571,0.8275862068965518,14
no u turn,0.6,0.3,0.4,10
pedestrian crossing,1.0,0.3,0.4615384615384615,10
railway crossing,0.14285714285714285,0.2,0.16666666666666666,10
right turn,0.0,0.0,0.0,11
road work ahead,0.8888888888888888,0.8,0.8421052631578948,10
round about,0.0,0.0,0.0,10
school zone,0.6363636363636364,0.5,0.56,14
slippery road,0.08695652173913043,0.11764705882352941,0.09999999999999999,17
speed limit,0.32,0.5714285714285714,0.41025641025641024,14
steep ascent,0.25,0.9,0.391304347826087,10
steep descent,0.0,0.0,0.0,10
stop,0.9285714285714286,1.0,0.962962962962963,13
weight limit,0.3333333333333333,0.2727272727272727,0.3,11
width limit,0.3333333333333333,0.1,0.15384615384615383,10
