Class,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc
animal crossing,0.7272727272727273,0.8181818181818182,0.9090909090909091,1.0,1.0
bumpy road,0.6666666666666666,0.7222222222222222,0.8333333333333334,0.9444444444444444,1.0
cross road,0.0,0.0,0.0,0.1,0.1
cycle crossing,0.9090909090909091,1.0,1.0,1.0,1.0
gas station,1.0,1.0,1.0,1.0,1.0
give way,0.16666666666666666,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.9166666666666666
height limit,0.16666666666666666,0.5833333333333334,0.6666666666666666,0.9166666666666666,1.0
hospital,0.9,0.9,1.0,1.0,1.0
no entry for vehicles,1.0,1.0,1.0,1.0,1.0
no overtaking,0.6,0.8,0.9,0.9,0.9
no parking,0.8,0.9333333333333333,1.0,1.0,1.0
no pedestrians,0.9,1.0,1.0,1.0,1.0
no stopping,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0
no u turn,0.3,0.5,0.9,1.0,1.0
pedestrian crossing,0.3,0.3,0.5,0.5,0.8
railway crossing,0.4,0.6,0.7,0.7,0.9
road work ahead,0.9,0.9,0.9,0.9,0.9
round about,0.0,0.1,0.1,0.2,0.3
school zone,0.5,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.7857142857142857
slippery road,0.11764705882352941,0.47058823529411764,0.9411764705882353,1.0,1.0
speed limit,0.5714285714285714,0.8571428571428571,1.0,1.0,1.0
steep ascent,0.9,0.9,1.0,1.0,1.0
steep descent,0.0,0.5,0.9,1.0,1.0
stop,1.0,1.0,1.0,1.0,1.0
weight limit,0.2727272727272727,0.5454545454545454,1.0,1.0,1.0
